=== イサキ 船宿×週グリッド（数量index、全期間平均=100） ===
船宿              |-- 1月(4週)--|-- 2月(4週)--|-- 3月(4週)--|-- 4月(4週)--|-- 5月(4週)--|-- 6月(4週)--|-- 7月(4週)--|-- 8月(4週)--|-- 9月(4週)--|--10月(4週)--|--11月(4週)--|--12月(4週)--
                W01 W02 W03 W04 W05 W06 W07 W08 W09 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W24 W25 W26 W27 W28 W29 W30 W31 W32 W33 W34 W35 W36 W37 W38 W39 W40 W41 W42 W43 W44 W45 W46 W47 W48 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
第1二三丸           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
第三孝徳丸           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
第三松栄丸           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -  115 108|  -   - [124  - |  76  37  -   - | 100 117  -  120|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
第八幸松丸           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   53| 111[135  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
第八鶴丸            |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  - [144  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  55  -   -   - |  -   -   -   -   - 
米元釣船店           |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   77  72  99| 111 114[143  82| 103  70  -   83|  - 141*  -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
美喜丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   75  75[141| 106  -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
義丸（大原）          |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
華丸              |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   - [100  - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
裕海丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
超栄丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   54  -   - |  -   -   -   78| 112139*  65[186|  64  -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
長福丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
風神丸             |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
黒川本家 -久里浜-      |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   - [100|  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   - |  -   -   -   -   - 
