ship,area,date,trip_no,is_cancellation,tsuri_mono_raw,tsuri_mono,main_sub,fish_raw,cnt_min,cnt_max,cnt_avg,is_boat,size_min,size_max,kg_min,kg_max,tackle,point_place1,point_place2,point_place3,depth_min,depth_max,water_temp_min,water_temp_max,water_color,wind_direction,wind_speed,tide_info,wave_info,weather,by_catch,kanso_raw,suion_raw,suishoku_raw
光進丸,金谷港,2024/02/25,2,0,カワハギ,カワハギ,メイン,カワハギ,2,12,7,0,16,28,,,,金谷沖,,,,,,,,,,,,,,今日も広範囲でポツポツと!良型サイズ多々交じりエサへの反応も良好!良い引き沢山!,,
光進丸,金谷港,2024/02/24,1,0,アジ,アジ,メイン,アジ,10,56,33,0,25,38,,,,金谷沖,,,,,,,,,,,,,ヒラメ,午前黄金アジ船。今日も良型主体に良い喰いで、入れれば喰うで有難う御座いました!2番手53匹!幅広肉厚の黄金アジが勢揃いで船中40匹前後多数と超平均釣果でした!他にヒラメ。,,
光進丸,金谷港,2024/02/21,1,0,アジ,アジ,メイン,アジ,13,73,43,0,25,41,,,,金谷沖,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に良い喰いで有難う御座いました!2番手71匹!幅広肉厚の黄金アジが勢揃いで船中50匹前後多数と超平均釣果でした!ビシ60号使用!。,,
光進丸,金谷港,2024/02/18,1,0,アジ,アジ,メイン,アジ,14,81,47,0,25,38,,,,金谷沖,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に良い喰い。,,
光進丸,金谷港,2024/02/18,2,0,カワハギ,カワハギ,メイン,午前カワハギ,0,9,4,0,16,28,,,,金谷沖,,,,,,,,,,,,,,今日も広範囲でポツポツと!良型サイズ多々交じりエサへの反応も良好!,,
光進丸,金谷港,2024/02/17,1,0,アジ,アジ,メイン,アジ,15,102,58,0,25,38,,,,金谷沖,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に喰いっぱなしの黄金アジ!沢山の笑顔を有難う御座いました!幅広肉厚の黄金アジが勢揃いで船中50匹前後多数と超平均釣果でした!。,,
光進丸,金谷港,2024/02/17,2,0,カワハギ,カワハギ,メイン,午前カワハギ,1,6,3,0,16,27,,,,金谷沖,,,,,,,,北,,,,,,今日は北風爆風で苦戦!良型サイズ多々交じりエサへの反応も良好!良い引き沢山!!,,
光進丸,金谷港,2024/02/12,1,0,アジ,アジ,メイン,アジ,20,84,52,0,25,38,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に良い喰いで有難う御座います!幅広肉厚の黄金アジが勢揃いで船中50匹前後多数と超平均釣果でした!。,,
光進丸,金谷港,2024/02/11,1,0,アジ,アジ,メイン,アジ,15,69,42,0,25,41,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に良い喰いで有難う御座います!幅広肉厚の黄金アジが勢揃いで2番手60匹!船中50匹前後多数と超平均釣果でした!。,,
光進丸,金谷港,2024/02/11,2,0,カワハギ,カワハギ,メイン,午前カワハギ,0,10,5,0,16,27,,,,金谷沖,,,,,,,,,,,,,,今日も良型サイズ多々交じりエサへの反応も良好!良い引き沢山!!,,
光進丸,金谷港,2024/02/10,1,0,アジ,アジ,メイン,アジ,22,81,51,0,25,38,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に喰いバリバリで有難う御座います!幅広肉厚の黄金アジが勢揃いで船中50匹前後多数と超平均釣果でした!ビシ60号使用!。,,
光進丸,金谷港,2024/02/10,2,0,カワハギ,カワハギ,メイン,午前カワハギ,0,8,4,0,16,28,,,,金谷沖,,,,,,,,,,,,,,今日も良型サイズ多々交じりで2番手7匹!エサへの反応も良好!良い引き沢山!,,
光進丸,金谷港,2024/02/09,1,0,アジ,アジ,メイン,アジ,0,67,33,0,20,38,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に喰い活発!有難う御座いました!船中50匹前後の御客様も多数で初挑戦&貸し竿の御客様も0匹(船酔い)から49匹まで!幅広肉厚の黄金アジが勢揃いで超平均釣果でした!!ビシ60号使用!。,,
光進丸,金谷港,2024/02/07,1,0,アジ,アジ,メイン,アジ,42,59,50,0,25,38,,,,金谷沖超浅場,,,,,,,,,,,,,,午前黄金アジ船。今日も良型主体に喰い活発!バリバリでした!2番手50匹!幅広肉厚の黄金アジが勢揃いで超平均釣果でした!ビシ60号使用!。,,
