date,page,clicks,impressions,ctr,position
2026-07-02,https://funatsuri-yoso.com/fish_area/katsuo-nagai.html,0,1,0,8
2026-07-02,https://funatsuri-yoso.com/fish_area/kawahagi-kanaya.html,0,1,0,11
2026-07-02,https://funatsuri-yoso.com/fish_area/kintoki-ohara.html,0,1,0,3
2026-07-02,https://funatsuri-yoso.com/fish_area/kurodai-kurihama.html,0,1,0,11
2026-07-02,https://funatsuri-yoso.com/fish_area/madai-ohara.html,0,1,0,16
2026-07-02,https://funatsuri-yoso.com/fish_area/madako-kanazawa-hakkei.html,0,6,0,6.67
2026-07-02,https://funatsuri-yoso.com/fish_area/madako-nagaura.html,0,1,0,19
2026-07-02,https://funatsuri-yoso.com/fish_area/magochi-samezu-katsushima.html,0,1,0,3
2026-07-02,https://funatsuri-yoso.com/fish_area/menuke-hasaki.html,1,1,1,6
2026-07-02,https://funatsuri-yoso.com/fish_area/onikasago-iioka.html,0,1,0,5
2026-07-02,https://funatsuri-yoso.com/fish_area/shima-aji-ohara.html,0,18,0,11.89
2026-07-02,https://funatsuri-yoso.com/fish_area/shima-aji-shimoda.html,0,1,0,4
2026-07-02,https://funatsuri-yoso.com/fish_area/shima-aji-teishi.html,0,1,0,6
2026-07-02,https://funatsuri-yoso.com/fish_area/surumeika-odawara-hayakawa.html,0,1,0,31
2026-07-02,https://funatsuri-yoso.com/fish_area/tachiuo-fukuda.html,1,1,1,5
2026-07-02,https://funatsuri-yoso.com/fish_area/tachiuo-kanazawa-gyoko.html,0,1,0,5
2026-07-02,https://funatsuri-yoso.com/index.html,0,24,0,9.33
2026-07-02,https://funatsuri-yoso.com/ship/baika-maru.html,0,3,0,9.67
2026-07-02,https://funatsuri-yoso.com/ship/bo-maru.html,0,1,0,16
2026-07-02,https://funatsuri-yoso.com/ship/chowari-01696.html,0,1,0,14
2026-07-02,https://funatsuri-yoso.com/ship/daisan-shoei-maru.html,0,1,0,10
2026-07-02,https://funatsuri-yoso.com/ship/funayado-mameya.html,0,1,0,7
2026-07-02,https://funatsuri-yoso.com/ship/hitachi-maru.html,0,2,0,7
2026-07-02,https://funatsuri-yoso.com/ship/kamoshita-maru-kawana.html,0,1,0,10
2026-07-02,https://funatsuri-yoso.com/ship/ko-maru.html,0,6,0,29.5
2026-07-02,https://funatsuri-yoso.com/ship/kotatsu-maru.html,0,3,0,9.33
2026-07-02,https://funatsuri-yoso.com/ship/kotoku-maru.html,0,2,0,8.5
2026-07-02,https://funatsuri-yoso.com/ship/masaichi-maru.html,0,1,0,11
2026-07-02,https://funatsuri-yoso.com/ship/nintoku-maru.html,0,2,0,8
2026-07-02,https://funatsuri-yoso.com/ship/riki-maru.html,0,1,0,27
2026-07-02,https://funatsuri-yoso.com/ship/sanjiro-maru.html,0,1,0,10
2026-07-02,https://funatsuri-yoso.com/ship/tomo-maru.html,0,1,0,9
2026-07-02,https://funatsuri-yoso.com/ship/yamashita-maru.html,0,1,0,10
2026-07-02,https://funatsuri-yoso.com/ship/yonemoto-tsuribuneten.html,0,3,0,10.33
2026-07-02,https://funatsuri-yoso.com/ship/yuko-maru-iioka.html,0,1,0,25
2026-07-02,https://funatsuri-yoso.com/x_post/2026-06-28.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/,1,16,0.0625,8.25
2026-07-03,https://funatsuri-yoso.com/area/amatsu.html,0,12,0,8.17
2026-07-03,https://funatsuri-yoso.com/area/futtsu.html,0,15,0,7.4
2026-07-03,https://funatsuri-yoso.com/area/hasaki-shinko.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/area/hota.html,0,1,0,6
2026-07-03,https://funatsuri-yoso.com/area/iioka.html,7,111,0.063063,7.22
2026-07-03,https://funatsuri-yoso.com/area/kanaya-oki.html,0,1,0,1
2026-07-03,https://funatsuri-yoso.com/area/kanaya.html,0,21,0,6.76
2026-07-03,https://funatsuri-yoso.com/area/matsuzaki.html,0,1,0,18
2026-07-03,https://funatsuri-yoso.com/area/oarai.html,0,3,0,8.33
2026-07-03,https://funatsuri-yoso.com/area/ohara.html,0,2,0,13
2026-07-03,https://funatsuri-yoso.com/area/onagigawa.html,0,1,0,5
2026-07-03,https://funatsuri-yoso.com/area/sajima.html,1,4,0.25,11.75
2026-07-03,https://funatsuri-yoso.com/area/shiba.html,0,1,0,5
2026-07-03,https://funatsuri-yoso.com/area/yokohama-honmoku.html,0,1,0,11
2026-07-03,https://funatsuri-yoso.com/fish/,0,2,0,5.5
2026-07-03,https://funatsuri-yoso.com/fish/aji.html,0,7,0,6.71
2026-07-03,https://funatsuri-yoso.com/fish/anago.html,0,3,0,11
2026-07-03,https://funatsuri-yoso.com/fish/aoriika.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/fish/ara.html,0,1,0,5
2026-07-03,https://funatsuri-yoso.com/fish/hanadai.html,0,1,0,1
2026-07-03,https://funatsuri-yoso.com/fish/hiramasa.html,0,2,0,9
2026-07-03,https://funatsuri-yoso.com/fish/hirame.html,0,13,0,9.38
2026-07-03,https://funatsuri-yoso.com/fish/houbou.html,0,1,0,1
2026-07-03,https://funatsuri-yoso.com/fish/inada.html,0,8,0,7.38
2026-07-03,https://funatsuri-yoso.com/fish/isaki.html,1,1,1,2
2026-07-03,https://funatsuri-yoso.com/fish/ishimochi.html,0,2,0,6.5
2026-07-03,https://funatsuri-yoso.com/fish/kanpachi.html,0,4,0,13.5
2026-07-03,https://funatsuri-yoso.com/fish/katsuo.html,0,3,0,7.67
2026-07-03,https://funatsuri-yoso.com/fish/kurodai.html,0,2,0,23.5
2026-07-03,https://funatsuri-yoso.com/fish/kuromutsu.html,0,1,0,7
2026-07-03,https://funatsuri-yoso.com/fish/madako.html,0,4,0,6.75
2026-07-03,https://funatsuri-yoso.com/fish/maruika.html,0,6,0,11.67
2026-07-03,https://funatsuri-yoso.com/fish/mugiika.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/fish/seabass.html,1,6,0.166667,5.5
2026-07-03,https://funatsuri-yoso.com/fish/shima-aji.html,0,10,0,8.4
2026-07-03,https://funatsuri-yoso.com/fish/shirogisu.html,0,2,0,7
2026-07-03,https://funatsuri-yoso.com/fish/shousaifugu.html,0,1,0,8
2026-07-03,https://funatsuri-yoso.com/fish/sumiika.html,0,1,0,7
2026-07-03,https://funatsuri-yoso.com/fish/tachiuo.html,0,3,0,8.33
2026-07-03,https://funatsuri-yoso.com/fish/yariika.html,1,1,1,1
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-chigasaki.html,0,1,0,4
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-enoura.html,0,1,0,14
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-fukuda.html,0,1,0,6
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-haneda.html,0,1,0,8
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-iioka.html,0,1,0,16
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-kanaya.html,1,3,0.333333,11.67
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-kotsubo.html,0,1,0,19
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-manazuru-port.html,0,1,0,11
2026-07-03,https://funatsuri-yoso.com/fish_area/aji-oarai.html,0,2,0,8.5
2026-07-03,https://funatsuri-yoso.com/fish_area/aoriika-sajima.html,0,4,0,5.75
2026-07-03,https://funatsuri-yoso.com/fish_area/ara-iioka.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/fish_area/ara-usami.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/fish_area/hirame-hasaki.html,0,2,0,3.5
2026-07-03,https://funatsuri-yoso.com/fish_area/hirame-iioka.html,0,1,0,11
2026-07-03,https://funatsuri-yoso.com/fish_area/houbou-%E4%BD%90%E5%B3%B6%E6%B8%AF.html,0,1,0,5
2026-07-03,https://funatsuri-yoso.com/fish_area/isaki-fukuda.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/fish_area/isaki-matsuwa-ena.html,0,2,0,4.5
2026-07-03,https://funatsuri-yoso.com/fish_area/isaki-ohara.html,0,3,0,6
2026-07-03,https://funatsuri-yoso.com/fish_area/isaki-teishi.html,0,1,0,1
2026-07-03,https://funatsuri-yoso.com/fish_area/ishimochi-kanazawa-hakkei-hirakata.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/fish_area/kuromutsu-oiso.html,0,1,0,8
2026-07-03,https://funatsuri-yoso.com/fish_area/madai-ajiro-port.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/fish_area/madai-kanazawa-hakkei.html,0,1,0,2
2026-07-03,https://funatsuri-yoso.com/fish_area/madai-odawara-hayakawa.html,0,1,0,3
2026-07-03,https://funatsuri-yoso.com/fish_area/madako-kanazawa-hakkei.html,0,1,0,8
2026-07-03,https://funatsuri-yoso.com/fish_area/onikasago-shimoda.html,1,1,1,10
2026-07-03,https://funatsuri-yoso.com/fish_area/shima-aji-ohara.html,0,6,0,16.83
2026-07-03,https://funatsuri-yoso.com/fish_area/surumeika-nagai.html,0,2,0,7.5
2026-07-03,https://funatsuri-yoso.com/fish_area/surumeika-odawara-hayakawa.html,0,1,0,1
2026-07-03,https://funatsuri-yoso.com/fish_area/tachiuo-kurihama.html,0,1,0,12
2026-07-03,https://funatsuri-yoso.com/fish_area/warasa-kashima.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/index.html,0,12,0,9.08
2026-07-03,https://funatsuri-yoso.com/ship/chowari-00453.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/ship/chowari-01192.html,0,3,0,10.67
2026-07-03,https://funatsuri-yoso.com/ship/chowari-01696.html,0,1,0,11
2026-07-03,https://funatsuri-yoso.com/ship/funayado-mameya.html,0,1,0,7
2026-07-03,https://funatsuri-yoso.com/ship/gibei-maru.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/ship/hayashi-yusen.html,0,2,0,8
2026-07-03,https://funatsuri-yoso.com/ship/kamoshita-maru-kawana.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/ship/ko-maru-oiso.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/ship/ko-maru.html,0,1,0,7
2026-07-03,https://funatsuri-yoso.com/ship/kotatsu-maru.html,0,2,0,8
2026-07-03,https://funatsuri-yoso.com/ship/marubachi.html,0,1,0,10
2026-07-03,https://funatsuri-yoso.com/ship/sanjiro-maru.html,0,2,0,9.5
2026-07-03,https://funatsuri-yoso.com/ship/seisho-maru.html,0,2,0,8.5
2026-07-03,https://funatsuri-yoso.com/ship/shofuku-maru.html,0,1,0,3
2026-07-03,https://funatsuri-yoso.com/ship/taro-maru.html,0,1,0,14
2026-07-03,https://funatsuri-yoso.com/ship/uptide-cruise.html,0,1,0,9
2026-07-03,https://funatsuri-yoso.com/ship/yonemoto-tsuribuneten.html,0,2,0,8
2026-07-04,https://funatsuri-yoso.com/,0,21,0,13.81
2026-07-04,https://funatsuri-yoso.com/area/,0,1,0,37
2026-07-04,https://funatsuri-yoso.com/area/amatsu.html,0,14,0,6.07
2026-07-04,https://funatsuri-yoso.com/area/arari.html,0,1,0,3
2026-07-04,https://funatsuri-yoso.com/area/futtsu.html,0,8,0,7
2026-07-04,https://funatsuri-yoso.com/area/hasaki-shinko.html,0,4,0,8.75
2026-07-04,https://funatsuri-yoso.com/area/hitachi-kuji.html,0,4,0,8.25
2026-07-04,https://funatsuri-yoso.com/area/hota.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/area/iioka.html,3,130,0.023077,7.18
2026-07-04,https://funatsuri-yoso.com/area/kanaya.html,1,32,0.03125,6.5
2026-07-04,https://funatsuri-yoso.com/area/katakai.html,0,2,0,10
2026-07-04,https://funatsuri-yoso.com/area/nagai-shinjuku.html,0,1,0,10
2026-07-04,https://funatsuri-yoso.com/area/oarai.html,0,6,0,13.83
2026-07-04,https://funatsuri-yoso.com/area/odawara-hayakawa.html,0,1,0,11
2026-07-04,https://funatsuri-yoso.com/area/ohara.html,0,12,0,13.08
2026-07-04,https://funatsuri-yoso.com/area/sajima.html,0,5,0,8.8
2026-07-04,https://funatsuri-yoso.com/area/senju-ohashi.html,0,1,0,27
2026-07-04,https://funatsuri-yoso.com/area/tagonoura.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish/,0,1,0,6
2026-07-04,https://funatsuri-yoso.com/fish/abura-bouzu.html,0,1,0,7
2026-07-04,https://funatsuri-yoso.com/fish/aji.html,0,4,0,6
2026-07-04,https://funatsuri-yoso.com/fish/anago.html,0,1,0,11
2026-07-04,https://funatsuri-yoso.com/fish/aoriika.html,0,4,0,7.75
2026-07-04,https://funatsuri-yoso.com/fish/ara.html,0,6,0,10.33
2026-07-04,https://funatsuri-yoso.com/fish/hata.html,0,1,0,9
2026-07-04,https://funatsuri-yoso.com/fish/hirame.html,0,6,0,9.17
2026-07-04,https://funatsuri-yoso.com/fish/inada.html,0,4,0,6.75
2026-07-04,https://funatsuri-yoso.com/fish/ishimochi.html,0,4,0,11.75
2026-07-04,https://funatsuri-yoso.com/fish/kamasu.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish/kanpachi.html,0,4,0,7
2026-07-04,https://funatsuri-yoso.com/fish/karei.html,0,1,0,8
2026-07-04,https://funatsuri-yoso.com/fish/katsuo.html,0,1,0,1
2026-07-04,https://funatsuri-yoso.com/fish/kuromutsu.html,0,3,0,6.33
2026-07-04,https://funatsuri-yoso.com/fish/madai.html,0,1,0,3
2026-07-04,https://funatsuri-yoso.com/fish/madako.html,0,4,0,6.25
2026-07-04,https://funatsuri-yoso.com/fish/maruika.html,0,10,0,13.5
2026-07-04,https://funatsuri-yoso.com/fish/mugiika.html,0,3,0,7.67
2026-07-04,https://funatsuri-yoso.com/fish/onikasago.html,0,1,0,10
2026-07-04,https://funatsuri-yoso.com/fish/seabass.html,0,4,0,6.75
2026-07-04,https://funatsuri-yoso.com/fish/shima-aji.html,0,11,0,8.36
2026-07-04,https://funatsuri-yoso.com/fish/shirogisu.html,0,3,0,11
2026-07-04,https://funatsuri-yoso.com/fish/shousaifugu.html,0,2,0,3.5
2026-07-04,https://funatsuri-yoso.com/fish/tachiuo.html,0,12,0,9.5
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-%E6%A8%AA%E6%B5%9C%E6%B8%AF.html,0,1,0,9
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-haneda.html,0,1,0,11
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-kanaya.html,0,2,0,11.5
2026-07-04,https://funatsuri-yoso.com/fish_area/aji-kanazawa-gyoko.html,0,2,0,5
