zone,bucket,day_offset,n,anomaly_p25,anomaly_p50,anomaly_p75
sagami_bay,mid,2,82,0.6905,1.0,1.3662
sagami_bay,mid,3,88,0.5333,0.8819,1.4434
sagami_bay,mid,4,85,0.6011,1.0,1.5966
sagami_bay,mid,5,77,0.6,1.069,1.3636
sagami_bay,mid,6,66,0.6746,1.0055,1.6
sagami_bay,mid,7,87,0.5326,0.9703,1.3789
sagami_bay,hi,1,0,,,
sagami_bay,hi,2,0,,,
sagami_bay,hi,3,0,,,
sagami_bay,hi,4,0,,,
sagami_bay,hi,5,0,,,
sagami_bay,hi,6,0,,,
sagami_bay,hi,7,0,,,
tokyo_bay,no,1,8115,0.7589,1.0,1.2739
tokyo_bay,no,2,8082,0.7574,1.0,1.2767
tokyo_bay,no,3,8106,0.7593,1.0,1.2756
tokyo_bay,no,4,8094,0.7595,1.0,1.2791
tokyo_bay,no,5,8122,0.7605,1.0,1.2809
tokyo_bay,no,6,8069,0.7593,1.0,1.2775
tokyo_bay,no,7,8077,0.7619,1.0,1.2821
tokyo_bay,lo,1,752,0.7994,1.0222,1.3481
tokyo_bay,lo,2,779,0.8118,1.0119,1.3251
tokyo_bay,lo,3,757,0.7734,1.0,1.3043
tokyo_bay,lo,4,779,0.7659,1.0,1.2647
tokyo_bay,lo,5,761,0.7619,1.0,1.2625
tokyo_bay,lo,6,813,0.7663,1.0,1.2883
tokyo_bay,lo,7,794,0.7442,1.0,1.2249
tokyo_bay,mid,1,57,0.6736,0.9,1.1792
tokyo_bay,mid,2,65,0.6039,0.8438,1.0476
tokyo_bay,mid,3,63,0.7509,1.1064,1.3653
tokyo_bay,mid,4,52,0.8951,1.085,1.3147
tokyo_bay,mid,5,45,0.8298,0.9057,1.0526
tokyo_bay,mid,6,47,0.9379,1.1111,1.3705
tokyo_bay,mid,7,57,0.8169,1.0,1.1975
tokyo_bay,hi,1,3,0.9493,1.061,1.4555
tokyo_bay,hi,2,1,1.133,1.133,1.133
tokyo_bay,hi,3,1,1.7073,1.7073,1.7073
tokyo_bay,hi,4,3,0.6827,1.0,1.2171
tokyo_bay,hi,5,2,1.0339,1.0344,1.035
tokyo_bay,hi,6,1,0.2437,0.2437,0.2437
tokyo_bay,hi,7,3,0.5968,0.65,0.778
