date,pfid,hinmei,section,santi,meigara,takane,nakane,yasune,qty_total,hanbai
20260522,kamasu,かます,,各地,−,2376,−,648,874.0,相対
20260522,mebaru,めばる,,各地,−,1944,−,1080,2336.0,相対
20260522,seabass,すずき,,各地,−,1512,−,648,4271.0,相対
20260522,shirogisu,きす,,各地,−,2700,−,1080,76.0,相対
20260522,isaki,いさき,,各地,−,3240,−,972,6627.0,相対
20260522,tachiuo,たちうお,,各地海外込,−,4320,−,2160,901.0,相対
20260523,kihada,きわだ（冷凍）,大物,各地海外込,−,1512,1339,1080,2760.0,せり・入札
20260523,kihada,めじ,,各地,−,1296,1242,1188,2883.0,相対
20260523,madai,まだい,,各地,−,3240,−,648,31263.0,相対
20260523,kinmedai,きんめだい,,各地,−,4320,1944,1188,5590.0,相対
20260523,madai,あまだい,,各地海外込,−,4320,−,1620,435.0,相対
20260523,buri,ぶり・わらさ,,各地,ブリ,864,648,432,63652.0,相対
20260523,buri,ぶり・わらさ,,各地,ワラサ,648,572,432,,
20260523,inada,いなだ・わかし,,各地,イナダ,540,486,432,324.0,相対
20260523,hirame,ひらめ,,各地海外込,−,2160,−,756,,相対
20260523,karei,かれい,,北海道,アカガレイ,540,486,432,16339.0,
20260523,karei,かれい,,北海道,クロガレイ,540,486,432,,
20260523,karei,かれい,,各地,マカレイ,432,324,216,,
20260523,karei,かれい,,各地,マコガレイ,648,540,432,,
20260523,maaji,あじ,,長崎,中,648,540,432,62920.0,相対
20260523,maaji,あじ,,各地,中,864,−,432,,
20260523,maaji,あじ,,各地,小・豆,432,378,324,,
20260523,saba,さば,,各地,−,756,594,432,21471.0,相対
20260523,katsuo,かつお,,千葉,−,2160,972,756,22416.0,相対
20260523,katsuo,かつお,,各地,−,1188,−,540,,
20260523,surumeika,するめいか,,各地,−,2117,1296,810,5501.0,相対
20260523,yariika,やりいか,,各地,−,2268,−,1350,3267.0,相対
20260523,kamasu,かます,,各地,−,2700,−,1620,403.0,相対
20260523,mebaru,めばる,,各地,−,1836,−,1620,2685.0,相対
20260523,seabass,すずき,,各地,−,1404,−,864,4811.0,相対
20260523,shirogisu,きす,,各地,−,2160,−,864,198.0,相対
20260523,isaki,いさき,,各地,−,2160,−,1404,6200.0,相対
20260523,tachiuo,たちうお,,各地海外込,−,3240,−,1620,1042.0,相対
20260526,kihada,きわだ（生鮮）,大物,東京,−,−,1296,−,881.0,せり・入札
20260526,kihada,きわだ（冷凍）,大物,各地海外込,−,1836,1339,1080,2335.0,せり・入札
20260526,kihada,めじ,,各地,−,1188,972,756,6832.0,相対
20260526,madai,まだい,,各地,−,3240,−,1080,28696.0,相対
20260526,kinmedai,きんめだい,,各地,−,4752,1944,1404,10824.0,相対
20260526,buri,ぶり・わらさ,,各地,ブリ,864,540,486,72749.0,相対
20260526,buri,ぶり・わらさ,,各地,ワラサ,648,486,432,,
20260526,inada,いなだ・わかし,,各地,イナダ,648,594,540,192.0,相対
20260526,hirame,ひらめ,,各地海外込,−,1620,−,756,10379.0,相対
20260526,karei,かれい,,北海道,アカガレイ,648,540,432,14342.0,
20260526,karei,かれい,,北海道,クロガレイ,540,486,432,,
20260526,karei,かれい,,各地,マカレイ,540,486,432,,
20260526,karei,かれい,,各地,マコガレイ,756,702,648,,
20260526,maaji,あじ,,長崎,中,648,540,432,49635.0,相対
20260526,maaji,あじ,,各地,中,1080,−,432,,
20260526,maaji,あじ,,各地,小・豆,324,270,216,,
20260526,saba,さば,,各地,−,648,540,432,22585.0,相対
20260526,katsuo,かつお,,千葉,−,3240,972,756,27804.0,相対
20260526,katsuo,かつお,,各地,−,1620,−,648,,
20260526,surumeika,するめいか,,各地,−,2052,1404,810,8996.0,相対
20260526,yariika,やりいか,,各地,−,−,2268,−,1840.0,相対
20260526,kamasu,かます,,各地,−,2700,−,1620,866.0,相対
20260526,seabass,すずき,,各地,−,1512,−,756,6767.0,相対
20260526,shirogisu,きす,,各地,−,8424,−,1620,658.0,相対
20260526,isaki,いさき,,各地,−,3780,−,810,10677.0,相対
20260526,tachiuo,たちうお,,各地海外込,−,2592,−,2160,2188.0,相対
20260528,kihada,きわだ（生鮮）,大物,東京,−,1404,1274,1188,2679.0,せり・入札
20260528,kihada,きわだ（冷凍）,大物,各地海外込,−,1728,1296,1080,3010.0,せり・入札
20260528,kihada,めじ,,各地,−,1188,1080,864,2436.0,相対
20260528,madai,まだい,,各地,−,3240,−,432,,相対
20260528,kinmedai,きんめだい,,各地,−,4428,1944,1080,9934.0,相対
20260528,madai,あまだい,,各地海外込,−,4860,−,3240,1552.0,相対
20260528,buri,ぶり・わらさ,,各地,ブリ,864,648,432,58565.0,相対
20260528,buri,ぶり・わらさ,,各地,ワラサ,540,486,432,,
20260528,inada,いなだ・わかし,,各地,イナダ,−,864,−,985.0,相対
20260528,hirame,ひらめ,,各地海外込,−,1620,−,756,9033.0,相対
20260528,karei,かれい,,北海道,アカガレイ,594,540,486,16839.0,
20260528,karei,かれい,,北海道,クロガレイ,540,486,432,,
20260528,karei,かれい,,各地,マカレイ,594,486,432,,
20260528,karei,かれい,,各地,マコガレイ,864,−,324,,
20260528,maaji,あじ,,福岡,中,648,540,432,65046.0,相対
20260528,maaji,あじ,,各地,中,1296,−,432,,
20260528,maaji,あじ,,各地,小・豆,432,378,324,,
20260528,saba,さば,,各地,−,648,540,324,21005.0,相対
20260528,katsuo,かつお,,千葉,−,2160,864,432,37430.0,相対
20260528,katsuo,かつお,,各地,−,1728,−,540,,
20260528,surumeika,するめいか,,各地,−,2117,1296,810,10131.0,相対
20260528,yariika,やりいか,,各地,−,1944,−,1404,1677.0,相対
20260528,kamasu,かます,,各地,−,2700,−,540,1646.0,相対
20260528,mebaru,めばる,,各地,−,1188,−,1080,1155.0,相対
20260528,seabass,すずき,,各地,−,1512,−,540,6378.0,相対
20260528,shirogisu,きす,,各地,−,8424,−,1620,621.0,相対
20260528,isaki,いさき,,各地,−,3780,−,756,14867.0,相対
20260528,tachiuo,たちうお,,各地海外込,−,5400,−,2160,3708.0,相対
