# 日次 vs 週次平均 相関係数比較

因子                        日次r    n_日         週次r    n_週  堅牢性
--------------------------------------------------------------------------------

=== アオリイカ × 佐衛美丸  (日次n=42, 週次n=29) ===
  海流速(km/h)           +0.026       318   -0.110        97  －   非有意
  潮差(cm)              -0.077       320   -0.007        97  －   非有意
  月齢(日)               +0.020       320   +0.048        97  －   非有意
  満潮1水位(cm)           -0.068       320   -0.079        97  －   非有意
  干潮1水位(cm)           +0.003       320   +0.063        97  －   非有意

=== アジ × 村松釣具店  (日次n=182, 週次n=129) ===
  風速(m/s)             +0.054       182   -0.062       129  －   非有意
  風向(度)               +0.062       182   +0.086       129  －   非有意
  気温(℃)               +0.211**     182   +0.345***    129  ★   r差大
  気圧(hPa)             -0.165*      182   -0.219*      129  ★★  やや堅牢
  波高(m)               +0.229**     182   +0.161       129  △   週次で消滅（疑似反復の疑い）
  波周期(s)              +0.143       182   +0.263**     129  ◇   週次のみ有意
  うねり高(m)             +0.258***    182   +0.225**     129  ★★★ 堅牢
  水温(℃)               +0.094       180   +0.256**     127  ◇   週次のみ有意
  海流速(km/h)           -0.056       180   -0.028       128  －   非有意
  潮差(cm)              -0.018       182   +0.012       129  －   非有意
  月齢(日)               -0.057       182   -0.022       129  －   非有意
  満潮1水位(cm)           -0.048       182   +0.031       129  －   非有意
  干潮1水位(cm)           -0.076       182   -0.131       129  －   非有意

=== アジ × 林遊船  (日次n=438, 週次n=150) ===
  風速(m/s)             -0.002       438   -0.037       150  －   非有意
  風向(度)               +0.102*      438   +0.246**     150  ★   r差大
  気温(℃)               -0.223***    438   -0.354***    150  ★   r差大
  気圧(hPa)             +0.195***    438   +0.268***    150  ★★  やや堅牢
  波高(m)               +0.026       438   -0.020       150  －   非有意
  波周期(s)              -0.126**     438   -0.119       150  △   週次で消滅（疑似反復の疑い）
  うねり高(m)             +0.017       438   +0.023       150  －   非有意
  水温(℃)               -0.150**     434   -0.245**     148  ★★  やや堅牢
  海流速(km/h)           -0.116*      437   -0.194*      150  ★★  やや堅牢
  潮差(cm)              +0.018       438   +0.107       150  －   非有意
  月齢(日)               -0.056       438   -0.087       150  －   非有意
  満潮1水位(cm)           -0.039       438   +0.005       150  －   非有意
  干潮1水位(cm)           -0.001       438   -0.171*      150  ◇   週次のみ有意

=== アジ × 渡辺釣船店  (日次n=425, 週次n=111) ===
  風速(m/s)             -0.022       425   -0.028       111  －   非有意
  風向(度)               +0.064       425   +0.048       111  －   非有意
  気温(℃)               -0.181***    425   -0.330***    111  ★   r差大
  気圧(hPa)             -0.101*      425   -0.064       111  △   週次で消滅（疑似反復の疑い）
  波高(m)               +0.098*      425   +0.045       111  －   非有意
  波周期(s)              -0.170***    425   -0.320***    111  ★   r差大
  うねり高(m)             +0.093       425   +0.022       111  －   非有意
  水温(℃)               -0.173***    415   -0.321***    109  ★   r差大
  海流速(km/h)           -0.043       423   -0.007       110  －   非有意
  潮差(cm)              +0.018       425   +0.171       111  －   非有意
  月齢(日)               +0.046       425   +0.094       111  －   非有意
  満潮1水位(cm)           -0.007       425   +0.135       111  －   非有意
  干潮1水位(cm)           +0.080       425   +0.064       111  －   非有意

=== アジ × 石田丸  (日次n=249, 週次n=124) ===
  風速(m/s)             -0.065       249   -0.134       124  －   非有意
  風向(度)               -0.024       249   -0.092       124  －   非有意
  気温(℃)               -0.491***    249   -0.593***    124  ★   r差大
  気圧(hPa)             +0.280***    249   +0.375***    124  ★★  やや堅牢
  波高(m)               -0.237***    249   -0.296***    124  ★★  やや堅牢
  波周期(s)              +0.020       249   +0.053       124  －   非有意
  うねり高(m)             -0.222***    249   -0.268**     124  ★★★ 堅牢
  水温(℃)               -0.362***    245   -0.446***    123  ★★  やや堅牢
  海流速(km/h)           -0.277***    249   -0.386***    124  ★   r差大
  潮差(cm)              +0.018       249   +0.018       124  －   非有意
  月齢(日)               -0.076       249   -0.105       124  －   非有意
  満潮1水位(cm)           -0.017       249   +0.036       124  －   非有意
  干潮1水位(cm)           +0.187**     249   +0.211*      124  ★★★ 堅牢

=== アジ × 秀丸  (日次n=44, 週次n=20) ===
  風速(m/s)             -0.031        44   -0.141        20  －   非有意
  風向(度)               -0.070        44   +0.102        20  －   非有意
  気温(℃)               +0.137        44   +0.300        20  －   非有意
  気圧(hPa)             -0.283        44   -0.412        20  －   非有意
  波高(m)               +0.118        44   +0.182        20  －   非有意
  波周期(s)              +0.039        44   +0.138        20  －   非有意
  うねり高(m)             +0.149        44   +0.264        20  －   非有意
  水温(℃)               +0.221        44   +0.289        20  －   非有意
  海流速(km/h)           +0.221        44   +0.394        20  －   非有意
  潮差(cm)              +0.009        44   +0.092        20  －   非有意
  月齢(日)               +0.256        44   +0.467*       20  ◇   週次のみ有意
  満潮1水位(cm)           -0.228        44   -0.340        20  －   非有意
  干潮1水位(cm)           -0.222        44   -0.477*       20  ◇   週次のみ有意

=== アジ × 第八幸松丸  (日次n=49, 週次n=25) ===
  風速(m/s)             +0.028        49   +0.252        25  －   非有意
  風向(度)               +0.030        49   +0.271        25  －   非有意
  気温(℃)               +0.394**      49   +0.602***     25  ★   r差大
  気圧(hPa)             -0.298*       49   -0.384*       25  ★★  やや堅牢
  波高(m)               +0.245        49   +0.219        25  －   非有意
  波周期(s)              +0.341*       48   +0.481**      25  ★   r差大
  うねり高(m)             +0.294*       49   +0.347        25  △   週次で消滅（疑似反復の疑い）
  水温(℃)               +0.476***     49   +0.684***     25  ★   r差大
  海流速(km/h)           +0.338*       49   +0.749***     25  ★   r差大
  潮差(cm)              +0.020        49   +0.154        25  －   非有意
  月齢(日)               +0.084        49   +0.303        25  －   非有意
  満潮1水位(cm)           +0.051        49   +0.004        25  －   非有意
  干潮1水位(cm)           -0.131        49   -0.316        25  －   非有意

=== アジ × 船宿 まる八  (日次n=596, 週次n=154) ===
  風速(m/s)             +0.124**     596   +0.236**     154  ★   r差大
  風向(度)               -0.057       596   -0.050       154  －   非有意
  気温(℃)               -0.266***    596   -0.326***    154  ★★  やや堅牢
  気圧(hPa)             +0.234***    596   +0.402***    154  ★   r差大
  波高(m)               -0.022       596   -0.069       154  －   非有意
  波周期(s)              -0.176***    595   -0.221**     154  ★★★ 堅牢
  うねり高(m)             -0.074       596   -0.098       154  －   非有意
  水温(℃)               -0.221***    592   -0.262***    153  ★★★ 堅牢
  海流速(km/h)           +0.096*      593   +0.139       154  －   非有意
  潮差(cm)              +0.108**     596   +0.188*      154  ★★  やや堅牢
  月齢(日)               -0.010       596   -0.036       154  －   非有意
  満潮1水位(cm)           +0.148***    596   +0.191*      154  ★★★ 堅牢
  干潮1水位(cm)           -0.044       596   -0.034       154  －   非有意

=== アジ × 野毛屋釣船店  (日次n=274, 週次n=125) ===
  風速(m/s)             -0.134*      274   -0.022       125  △   週次で消滅（疑似反復の疑い）
  風向(度)               -0.087       274   -0.028       125  －   非有意
  気温(℃)               -0.237***    274   -0.323***    125  ★★  やや堅牢
  気圧(hPa)             +0.026       274   -0.032       125  －   非有意
  波高(m)               -0.051       274   -0.039       125  －   非有意
  波周期(s)              -0.030       273   -0.166       125  －   非有意
  うねり高(m)             -0.041       274   -0.060       125  －   非有意
  水温(℃)               -0.255***    273   -0.387***    124  ★   r差大
  海流速(km/h)           +0.070       273   +0.098       125  －   非有意
  潮差(cm)              +0.026       274   +0.075       125  －   非有意
  月齢(日)               +0.048       274   +0.049       125  －   非有意
  満潮1水位(cm)           -0.099       274   -0.014       125  －   非有意
  干潮1水位(cm)           +0.126*      274   +0.173       125  △   週次で消滅（疑似反復の疑い）

=== アジ × 釣船 五郎丸  (日次n=739, 週次n=155) ===
  風速(m/s)             -0.040       739   +0.012       155  －   非有意
  風向(度)               +0.023       739   -0.074       155  －   非有意
  気温(℃)               -0.012       739   -0.038       155  －   非有意
  気圧(hPa)             +0.061       739   +0.100       155  －   非有意
  波高(m)               -0.050       739   -0.136       155  －   非有意
  波周期(s)              -0.015       738   -0.048       155  －   非有意
  うねり高(m)             -0.029       739   -0.168*      155  ◇   週次のみ有意
  水温(℃)               -0.044       731   -0.067       154  －   非有意
  海流速(km/h)           -0.016       731   -0.098       155  －   非有意
  潮差(cm)              -0.071       739   -0.031       155  －   非有意
  月齢(日)               +0.053       739   +0.084       155  －   非有意
  満潮1水位(cm)           -0.075*      739   -0.066       155  －   非有意
  干潮1水位(cm)           +0.019       739   +0.011       155  －   非有意

=== アジ × 長崎屋  (日次n=358, 週次n=101) ===
  風速(m/s)             +0.102       358   +0.007       101  －   非有意
  風向(度)               -0.012       358   +0.068       101  －   非有意
  気温(℃)               -0.281***    358   -0.428***    101  ★   r差大
  気圧(hPa)             +0.019       358   +0.141       101  －   非有意
  波高(m)               +0.050       358   -0.013       101  －   非有意
  波周期(s)              -0.060       358   -0.084       101  －   非有意
  うねり高(m)             -0.039       358   -0.113       101  －   非有意
  水温(℃)               -0.078       352   -0.166       100  －   非有意
  海流速(km/h)           -0.026       358   +0.003       101  －   非有意
  潮差(cm)              -0.036       358   -0.083       101  －   非有意
  月齢(日)               +0.021       358   -0.032       101  －   非有意
  満潮1水位(cm)           -0.137**     358   -0.199*      101  ★★  やや堅牢
  干潮1水位(cm)           -0.012       358   +0.062       101  －   非有意

=== アジ × 須原屋  (日次n=274, 週次n=78) ===
  風速(m/s)             +0.290***    274   +0.511***     78  ★   r差大
  風向(度)               -0.071       274   -0.028        78  －   非有意
  気温(℃)               -0.441***    274   -0.546***     78  ★   r差大
  気圧(hPa)             +0.321***    274   +0.578***     78  ★   r差大
  波高(m)               -0.058       274   -0.224*       78  ◇   週次のみ有意
  波周期(s)              -0.180**     274   -0.376***     78  ★   r差大
  うねり高(m)             -0.063       274   -0.287**      78  ◇   週次のみ有意
  水温(℃)               -0.354***    269   -0.416***     76  ★★  やや堅牢
  海流速(km/h)           +0.110       274   +0.160        78  －   非有意
  潮差(cm)              +0.192**     274   +0.290**      78  ★★  やや堅牢
  月齢(日)               +0.043       274   -0.025        78  －   非有意
  満潮1水位(cm)           +0.336***    274   +0.470***     78  ★   r差大
  干潮1水位(cm)           +0.095       274   +0.166        78  －   非有意

=== アジ × 鶴丸  (日次n=45, 週次n=32) ===
  風速(m/s)             -0.039        45   -0.114        32  －   非有意
  風向(度)               -0.056        45   +0.058        32  －   非有意
  気温(℃)               +0.344*       45   +0.434**      32  ★★  やや堅牢
  気圧(hPa)             -0.246        45   -0.287        32  －   非有意
  波高(m)               +0.174        45   +0.173        32  －   非有意
  波周期(s)              +0.279        45   +0.159        32  －   非有意
  うねり高(m)             +0.191        45   +0.204        32  －   非有意
  水温(℃)               +0.210        45   +0.260        32  －   非有意
  海流速(km/h)           -0.048        45   +0.137        32  －   非有意
  潮差(cm)              +0.167        45   +0.262        32  －   非有意
